section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
deduction,agent_renamed,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,,Agent name preserved with identical semantic role,No semantic risk - name consistency maintained,,
deduction,agent_renamed,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,,Agent name preserved with identical semantic role,No semantic risk - name consistency maintained,,
deduction,agent_renamed,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,,Agent name preserved with identical semantic role,No semantic risk - name consistency maintained,,
deduction,agent_renamed,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,,Agent name preserved with identical semantic role,No semantic risk - name consistency maintained,,
deduction,agent_renamed,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,,Agent name preserved with identical semantic role,No semantic risk - name consistency maintained,,
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,agentName,agentName field renamed to name with enhanced agentId addition,Low risk rename with improved identification,agentName,name
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,model,model field renamed to modelDeploymentName with value upgrade,Potential behavior variance requiring validation,model,modelDeploymentName
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,tools,tools field renamed to toolReferences with structural consistency,Low risk rename for standardization,tools,toolReferences
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,task,task container structure flattened into description field,Loss of structured task metadata and expectedOutput validation,,task
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,expectedOutput,expectedOutput specification removed from all agents,Loss of validation enforcement and output contracts,task.expectedOutput,
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,agentName,agentName field renamed to name with enhanced agentId addition,Low risk rename with improved identification,agentName,name
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,model,model upgraded from gpt-4 to gpt-4.1 via modelDeploymentName,Potential behavior variance requiring validation,gpt-4,gpt-4.1
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,tools,tools field renamed to toolReferences with structural consistency,Low risk rename for standardization,tools,toolReferences
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,task,task container structure flattened into description field,Loss of structured task metadata and expectedOutput validation,,task
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,expectedOutput,expectedOutput specification removed,Loss of validation enforcement for test case outputs,task.expectedOutput,
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,agentName,agentName field renamed to name with enhanced agentId addition,Low risk rename with improved identification,agentName,name
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,model,model upgraded from gpt-4 to gpt-4.1 via modelDeploymentName,Potential behavior variance requiring validation,gpt-4,gpt-4.1
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,tools,tools field renamed to toolReferences with structural consistency,Low risk rename for standardization,tools,toolReferences
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,task,task container structure flattened into description field,Loss of structured task metadata and expectedOutput validation,,task
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,expectedOutput,expectedOutput specification removed,Loss of validation enforcement for transformation testing,task.expectedOutput,
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,agentName,agentName field renamed to name with enhanced agentId addition,Low risk rename with improved identification,agentName,name
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,model,model upgraded from gpt-4 to gpt-4.1 via modelDeploymentName,Potential behavior variance requiring validation,gpt-4,gpt-4.1
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,tools,tools field renamed to toolReferences with structural consistency,Low risk rename for standardization,tools,toolReferences
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,task,task container structure flattened into description field,Loss of structured task metadata and expectedOutput validation,,task
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,expectedOutput,expectedOutput specification removed,Loss of validation enforcement for reconciliation testing,task.expectedOutput,
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,agentName,agentName field renamed to name with enhanced agentId addition,Low risk rename with improved identification,agentName,name
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,model,model changed from anthropic.claude-4-sonnet to gpt-4.1 via modelDeploymentName,Significant model change requiring behavior validation,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,tools,tools field renamed to toolReferences with structural consistency,Low risk rename for standardization,tools,toolReferences
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,task,task container structure flattened into description field,Loss of structured task metadata and expectedOutput validation,,task
deduction,missing_metadata,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,expectedOutput,expectedOutput specification removed,Loss of validation enforcement for review outputs,task.expectedOutput,
deduction,type_change,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,workflowId,Workflow ID type changed from integer to nested object structure,Breaking change requiring type handling updates,7575,5708
deduction,constraint_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,agentId,Addition of agentId field provides enhanced agent identification,Improved traceability and agent management,,9590
deduction,constraint_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,agentId,Addition of agentId field provides enhanced agent identification,Improved traceability and agent management,,9592
deduction,constraint_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,agentId,Addition of agentId field provides enhanced agent identification,Improved traceability and agent management,,9583
deduction,constraint_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,agentId,Addition of agentId field provides enhanced agent identification,Improved traceability and agent management,,9581
deduction,constraint_change,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,agentId,Addition of agentId field provides enhanced agent identification,Improved traceability and agent management,,9605
deduction,governance_issue,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,expectedOutput,Removal of expectedOutput specifications across all agents weakens governance controls,Reduced auditability and validation enforcement,task.expectedOutput,
deduction,governance_issue,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,task,Loss of structured task containers reduces metadata organization,Reduced constraint clarity and validation structure,task,description
deduction,ambiguity,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,description,Task description flattened from structured task.description to flat description,Potential loss of instructional clarity,task.description,description
deduction,ambiguity,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,description,Task description flattened from structured task.description to flat description,Potential loss of instructional clarity,task.description,description
deduction,ambiguity,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,description,Task description flattened from structured task.description to flat description,Potential loss of instructional clarity,task.description,description
deduction,ambiguity,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,description,Task description flattened from structured task.description to flat description,Potential loss of instructional clarity,task.description,description
deduction,ambiguity,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,description,Task description flattened from structured task.description to flat description,Potential loss of instructional clarity,task.description,description
deduction,risk,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,migration,Complete structural reorganization requires coordinated migration across all dependent systems,High operational risk with potential service disruption,
deduction,risk,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Converter,model,Model upgrade from anthropic.claude-4-sonnet to gpt-4.1 may alter output behavior,Execution behavior variance requiring comprehensive testing,
deduction,risk,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_UnitTest,model,Model upgrade from gpt-4 to gpt-4.1 may alter test generation patterns,Test coverage variance requiring validation,
deduction,risk,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion_Tester,model,Model upgrade from gpt-4 to gpt-4.1 may alter testing approach,Testing methodology variance requiring validation,
deduction,risk,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Recon_Tester,model,Model upgrade from gpt-4 to gpt-4.1 may alter reconciliation logic,Reconciliation accuracy variance requiring validation,
deduction,risk,agent,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Reviewer,model,Model change from anthropic.claude-4-sonnet to gpt-4.1 represents significant behavioral shift,Review quality and approach variance requiring extensive validation,
deduction,risk,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,validation,Loss of expectedOutput constraints reduces runtime validation capability,Reduced error detection and quality assurance,
deduction,risk,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,orchestration,Breaking structural changes require updates to agent discovery and execution orchestration,System integration failure risk,
deduction,general_finding,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,semantic_preservation,Core agent functionality and instructions preserved with 100% content accuracy,Strong semantic continuity despite structural changes,
deduction,general_finding,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,standardization,Consistent field naming and structure standardization across all agents,Improved metadata consistency and maintainability,
deduction,general_finding,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,identification,Enhanced agent identification through agentId addition improves traceability,Better agent management and monitoring capabilities,
deduction,general_finding,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,model_consistency,Standardization to gpt-4.1 across most agents improves model consistency,Reduced model management complexity with potential behavior alignment,
