section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
deduction,type_change,agent,DI INFA to PySpark Conversion Tester,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,constraint_change,agent,DI INFA to PySpark Conversion Tester,description,Added API Cost Estimation requirement in description,Enhanced governance requirement,,
deduction,field_change,agent,DI INFA to PySpark Recon Tester,agentName,agentName field renamed to name with ID addition,Structural breaking change,agentName,name
deduction,field_change,agent,DI INFA to PySpark Recon Tester,model,model field renamed to modelDeploymentName,Breaking field reference change,model,modelDeploymentName
deduction,field_change,agent,DI INFA to PySpark Recon Tester,tools,tools field renamed to toolReferences,Breaking field reference change,tools,toolReferences
deduction,missing_metadata,agent,DI INFA to PySpark Recon Tester,task,Complete task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI INFA to PySpark Recon Tester,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,task.expectedOutput,
deduction,field_change,agent,DI INFA to PySpark Recon Tester,description,Task description flattened from nested task.description to root description,Structural simplification,task.description,description
deduction,type_change,agent,DI INFA to PySpark Recon Tester,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,field_change,agent,DI INFA to PySpark Reviewer,agentName,agentName field renamed to name with ID addition,Structural breaking change,agentName,name
deduction,field_change,agent,DI INFA to PySpark Reviewer,model,model field renamed to modelDeploymentName,Breaking field reference change,model,modelDeploymentName
deduction,field_change,agent,DI INFA to PySpark Reviewer,tools,tools field renamed to toolReferences,Breaking field reference change,tools,toolReferences
deduction,missing_metadata,agent,DI INFA to PySpark Reviewer,task,Complete task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI INFA to PySpark Reviewer,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,task.expectedOutput,
deduction,field_change,agent,DI INFA to PySpark Reviewer,description,Task description flattened from nested task.description to root description,Structural simplification,task.description,description
deduction,type_change,agent,DI INFA to PySpark Reviewer,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,governance_issue,workflow,,validation,Removal of expectedOutput fields weakens validation enforcement across all agents,Reduced governance controls,,
deduction,governance_issue,workflow,,traceability,Loss of structured task containers reduces metadata traceability,Audit trail degradation,,
deduction,governance_issue,workflow,,constraints,Flattening of task structure removes explicit constraint definitions,Enforcement capability reduction,,
deduction,risk,workflow,,migration,Complete structural reorganization requires coordinated migration of all dependent systems,High operational risk,,
deduction,risk,workflow,,compatibility,Breaking changes in field names and structure affect backward compatibility,System integration failure risk,,
deduction,risk,agent,DI INFA to  PySpark Converter,model,Model version upgrade may introduce behavioral changes in output generation,Execution variance risk,gpt-4,gpt-4.1
deduction,risk,agent,DI INFA to PySpark UnitTest,model,Model version upgrade may affect test case generation quality,Test coverage risk,gpt-4,gpt-4.1
deduction,risk,agent,DI INFA to PySpark Conversion Tester,model,Model version upgrade may impact transformation validation accuracy,Validation reliability risk,gpt-4,gpt-4.1
deduction,risk,agent,DI INFA to PySpark Recon Tester,model,Model version upgrade may affect reconciliation script generation,Data validation risk,gpt-4,gpt-4.1
deduction,risk,agent,DI INFA to PySpark Reviewer,model,Model version upgrade may change review criteria and assessment quality,Review consistency risk,gpt-4,gpt-4.1
deduction,ambiguity,workflow,,orchestration,Structural changes may require updates to agent orchestration and execution order,Workflow execution uncertainty,,
deduction,general_finding,workflow,,evolution,AAVA 2.0 represents a significant architectural evolution with improved naming consistency,Modernization benefit,,
deduction,general_finding,workflow,,standardization,Agent naming standardization improves consistency across the workflow,Maintenance improvement,,
deduction,general_finding,workflow,,simplification,Task structure flattening reduces complexity but loses some metadata granularity,Trade-off between simplicity and detail,,
